uri,cid,text,created_at,keyword,lang,author_handle,author_did,author_display_name,author_description,author_avatar,author_followers_count,author_following_count,author_posts_count,author_verified,like_count,repost_count,reply_count,total_engagement,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,has_media,is_reply
at://did:plc:y7bjptnal57vuq3sa2ybwx63/app.bsky.feed.post/3m2jv5fjni52e,bafyreihmmwejzyryantlhliutsmubbxcvsvjupt6oedopg4zjuddoru36e,"ACT IMMEDIATELY! This fight takes all of us! #homeless #homelessness #unhoused #help #resources #city #citycouncil #criminal #publiccomment
#agenda",2025-10-06T15:05:02Z,homeless,en,protyusagendher.bsky.social,did:plc:y7bjptnal57vuq3sa2ybwx63,Protyus A. Gendher,,https://cdn.bsky.app/img/avatar/plain/did:plc:y7bjptnal57vuq3sa2ybwx63/bafkreibkfxinsf23kxbttxjscuwffm2hrfoccqgzlpqdpwaoh47kzoxeui@jpeg,76,89,809,False,0,0,0,0,18,147,10,0,0,"#homeless,#homelessness,#unhoused,#help,#resources,#city,#citycouncil,#criminal,#publiccomment,#agenda",,True,False
at://did:plc:dyfgamx3cuaw622zq5z4occs/app.bsky.feed.post/3m2jv34jo3k2q,bafyreih5prvrmsugxdopxb3cmwsn4jw52u6ldhujvwyiejoni4io2seiee,"Currently fighting an epic battle with Wigan Council, where they have taken four weeks to assess a vulnerable adult for emergency housing. 

This delay is unacceptable. They are literally homeless but keep fobbing us off.

They've made themselves harder to contact than the Prime Minister. Ludicrous.",2025-10-06T15:03:47.709Z,homeless,en,emilychomicz.com,did:plc:dyfgamx3cuaw622zq5z4occs,Emily Elżbieta Chomicz,,https://cdn.bsky.app/img/avatar/plain/did:plc:dyfgamx3cuaw622zq5z4occs/bafkreicjemrhxjwxdb3cg3mbo7nnlolgqzz7b3lsc7i5z2lhhkk4kw3pdi@jpeg,902,4538,713,False,0,0,0,0,46,300,0,0,0,,,False,False
at://did:plc:oigt34me3reo2u7fvccpyrzb/app.bsky.feed.post/3m2juwbttkk2p,bafyreihf6wjmrspuqrd3sv6dpfyiya7rkltmpj4stoqsqksojyu2z3ly3m,"After feeding the homeless for 20 years and being an emt and doing community outreach and having spent most of my life putting others needs before my own, I have successfully made it to a Bluesky list described as “Genocide apologist posting cringe from a Starbucks as it burns down around them”",2025-10-06T15:01:05.513Z,homeless,en,johntoilet.bsky.social,did:plc:oigt34me3reo2u7fvccpyrzb,John Toilet,,https://cdn.bsky.app/img/avatar/plain/did:plc:oigt34me3reo2u7fvccpyrzb/bafkreihn3vjp7wxmnpg4icz7qes4naebw76rk3car3qb5t5ubvu7rr3wcu@jpeg,1383,766,6068,False,13,0,2,15,52,295,0,0,0,,,False,False
at://did:plc:ta7csnm2rodgz5q4wba4ovvn/app.bsky.feed.post/3m2juuggkqx2l,bafyreia5h4pfffsck3es7zzzunxikmacoot7nrmfumznnaxm7x5p5tgeui,"OP-ED: ""The number of people experiencing homelessness in New York City has reached unprecedented levels since the Great Depression. On average in July 2025, according to the Coalition for the Homeless, 104,000 people slept in city shelters on a given night, the highest number recorded.""",2025-10-06T15:00:02.863Z,homeless,en,nyamnews.bsky.social,did:plc:ta7csnm2rodgz5q4wba4ovvn,New York Amsterdam News,,https://cdn.bsky.app/img/avatar/plain/did:plc:ta7csnm2rodgz5q4wba4ovvn/bafkreibsh6mjkn2bilkjg25liiryle6nglhxgiwgu7ggahwnegwdkxbrcu@jpeg,10147,1,2604,False,4,2,0,6,45,288,0,0,0,,,True,False
at://did:plc:hsue2zeusre2e4kkii6yglf5/app.bsky.feed.post/3m2jup5dqas2g,bafyreihuel5fvd54rbrcw5xtdn3hrwo26vemlbasqwo53x6ybfpeb4bfeq,"They are making more homeless. They bitch about it, yet are making it more so.",2025-10-06T14:57:05.912Z,homeless,en,bornagainvirgin.bsky.social,did:plc:hsue2zeusre2e4kkii6yglf5,,,https://cdn.bsky.app/img/avatar/plain/did:plc:hsue2zeusre2e4kkii6yglf5/bafkreia2ehj2hiykmblqyktp6w7vgipvzep7kclo7ozpztcrzgjxbd3dnm@jpeg,433,13,6457,False,0,0,0,0,15,78,0,0,0,,,False,True
at://did:plc:i2wwtu5v7pagun5nxqfvo2jd/app.bsky.feed.post/3m2juouo6g22b,bafyreihsx73a6faqcmxlq7keggmuhzpqqitlmuprjfrsykvq4bsq266ddq,"Right. 

Have you seen how cities put boulders in places the homeless seek shelter?",2025-10-06T14:56:56.814Z,homeless,en,pnwpirate.bsky.social,did:plc:i2wwtu5v7pagun5nxqfvo2jd,,,https://cdn.bsky.app/img/avatar/plain/did:plc:i2wwtu5v7pagun5nxqfvo2jd/bafkreibhjf7exzktlkut6avabzkib7cozxnitysn7yud4sslghq5gemj4i@jpeg,3588,3360,9137,False,0,0,1,1,14,83,0,0,0,,,True,False
at://did:plc:j3vb5ifosuht3jg6vtlwmq2c/app.bsky.feed.post/3m2juller4s24,bafyreibmxjigc4422ym66cjln25bssfkbqywnwajqrznss5dpb4lz3vcsa,"Ms. Leavitt where is the compassion for your fellow man, aren't we all brothers and sisters in the eyes of GOD! 
Do you also go around kicking stray dogs, pour cold water on a homeless person on freezing days, steal the tip money off the counter at your local diner.
Your day is coming!!!",2025-10-06T14:55:06.407Z,homeless,en,jab1223.bsky.social,did:plc:j3vb5ifosuht3jg6vtlwmq2c,John Boyle,,https://cdn.bsky.app/img/avatar/plain/did:plc:j3vb5ifosuht3jg6vtlwmq2c/bafkreid7qhun4hpuj4nehi54hp4dzknr3qupc4gbgwuz3pkfkoij2z3jdu@jpeg,4294,7933,2010,False,1,0,0,1,54,288,0,0,0,,,False,True
at://did:plc:hltaumafa4gshmzpxa2rytks/app.bsky.feed.post/3m2juf7niw22w,bafyreif6tmjjuiedohbxruqgqifkaqg3pv27qetiehc6oioxmp7bqx7x7u,I'll be evicted soon. Homeless criminal. I belong in jail I guess. No one has my back anymore. Some Battle,2025-10-06T14:51:32.785Z,homeless,en,kriseilish69-79.bsky.social,did:plc:hltaumafa4gshmzpxa2rytks,Kris Eilish,,https://cdn.bsky.app/img/avatar/plain/did:plc:hltaumafa4gshmzpxa2rytks/bafkreiaqnylm43b26yz53fuqeqhsded5ogb3gco4dxxbasr2g4huzk66hy@jpeg,37,23,767,False,0,0,0,0,20,106,0,0,0,,,False,True
at://did:plc:k5jwuu5dsslyzb7lg2xz4cpl/app.bsky.feed.post/3m2ju7kmxlk27,bafyreiaphnw7xvzia5qusl4iy3mzlqcy54737s7vh5swbiwplzre3nnmua,"Pompous talk and memes about charity cost nothing but then Texas buses full of immigrants showed up in the north and we quickly found out the logistics r not setup even for for the homeless citizens, never mind the caravans. You cant do mass migration with neoliberal shackles. Logistics fail quickly",2025-10-06T14:48:22.973Z,homeless,en,runner9.bsky.social,did:plc:k5jwuu5dsslyzb7lg2xz4cpl,,,https://cdn.bsky.app/img/avatar/plain/did:plc:k5jwuu5dsslyzb7lg2xz4cpl/bafkreia5jwvoi3ygiex22mcb6z4jtznawrf463rahfgrxyv6zra2lgvp4y@jpeg,108,26,94,False,0,0,0,0,51,300,0,0,0,,,False,True
at://did:plc:5hblrj2hwiog4fox7islneg4/app.bsky.feed.post/3m2ju75sbyc2e,bafyreib46p6d67xu4jkp54cfwp5z5d25c7eavg2aq32rwlmb2paeguubgm,"my sister, who i recently cut off contact w for so many reasons...one of the last things she told me was that newsom needed to round homeless up because ""they poo everywhere""

she is entirely the liberal dem this is about

i don't know how we are related honestly",2025-10-06T14:48:09.518Z,homeless,en,humanbean.net,did:plc:5hblrj2hwiog4fox7islneg4,human bean,,https://cdn.bsky.app/img/avatar/plain/did:plc:5hblrj2hwiog4fox7islneg4/bafkreic4gbktff6vvf7psuo5c3dvrhcdegzdim2f5b42o64vzwf2ji5pjm@jpeg,1583,1027,18277,False,0,0,0,0,49,263,0,0,0,,,False,True
at://did:plc:2otejz54xcx5es6hskvuv34u/app.bsky.feed.post/3m2ju5vse6x2c,bafyreibzqt7komlswoh26c5xhtpk6hmpqnlnh4zx6ee63co7cslskzndze,"How a Miami health care group is meeting homeless patients where they live

#WSVN",2025-10-06T14:47:27.452Z,homeless,en,miami.thesocial.news,did:plc:2otejz54xcx5es6hskvuv34u,Miami News,,https://cdn.bsky.app/img/avatar/plain/did:plc:2otejz54xcx5es6hskvuv34u/bafkreib7ddmsyxknrtnq6pucdndm47vlkmyebmbcd7fbwyxxxh3kew3prm@jpeg,30,1,6091,False,0,0,0,0,14,81,1,0,0,#WSVN,,True,False
at://did:plc:i6vusvyzi3wgoofzmfquwlbx/app.bsky.feed.post/3m2ju5don7225,bafyreia6hwia2xw4qzwxklcp6u2iuini7xogwdxlwzeacybgujc6iwhjwy,"NO FASCIST TAKEOVERS!
No Military Occupation of Our Cities!
Hands Off Our Youth!
No Nazi Cleansing of “The Homeless!”
The trump maga Project2025 fascist regime Must Go Now!

#trumpsAnEvilUglyLyingCheatingSchemingCriminalPedoPOSScumbagSOB

@refusefascism.bsky.social

refusefascism.org/featured-new...",2025-10-06T14:47:01.607Z,homeless,en,fritzjamoke.bsky.social,did:plc:i6vusvyzi3wgoofzmfquwlbx,fritz jamoke,,https://cdn.bsky.app/img/avatar/plain/did:plc:i6vusvyzi3wgoofzmfquwlbx/bafkreigsvqhayq27t4hcka2fdzihco6vyw7tbrn2ttohuh65fsrjjtm2hy@jpeg,9809,11442,5625,False,0,0,1,1,31,300,1,1,0,#trumpsAnEvilUglyLyingCheatingSchemingCriminalPedoPOSScumbagSOB,@refusefascism.bsky.social,True,True
at://did:plc:2u52yge4i7biquylhqvrne6s/app.bsky.feed.post/3m2ju36ossk2b,bafyreideobnwnsp36ruu6ny6aq6y44l2zr4d2jbqr7rlo7qf366galzoni,i have an illness to contend with but im making some calls to local food banks to sched drop offs of some essentials. also putting some bags of clothing together for homeless. im going to try to make everyday one of gratefulness by giving back in some small way. we can do this! #FucktheFourthReich,2025-10-06T14:45:56.234Z,homeless,en,trueblueoptimist.bsky.social,did:plc:2u52yge4i7biquylhqvrne6s,TrueBlueOptimist,,https://cdn.bsky.app/img/avatar/plain/did:plc:2u52yge4i7biquylhqvrne6s/bafkreiejurur57wovpmw3f6l5xvounyhimqkfdd6xvv3huitzb4iof2lvq@jpeg,13461,18910,2620,False,1,0,0,1,54,298,1,0,0,#FucktheFourthReich,,False,False
